filename,TP,FP,FN,Precision (%),Recall (%),F1 Score (%)
artificialNoAnomaly/art_daily_no_noise.csv,0,1329,0,0.0,0.0,0.0
artificialNoAnomaly/art_daily_perfect_square_wave.csv,0,1392,0,0.0,0.0,0.0
artificialNoAnomaly/art_daily_small_noise.csv,0,1505,0,0.0,0.0,0.0
artificialNoAnomaly/art_flatline.csv,0,0,0,0.0,0.0,0.0
artificialNoAnomaly/art_noisy.csv,0,233,0,0.0,0.0,0.0
artificialWithAnomaly/art_daily_flatmiddle.csv,119,1332,284,8.2,29.53,12.84
artificialWithAnomaly/art_daily_jumpsdown.csv,29,1202,374,2.36,7.2,3.55
artificialWithAnomaly/art_daily_jumpsup.csv,150,1280,253,10.49,37.22,16.37
artificialWithAnomaly/art_daily_nojump.csv,33,1172,370,2.74,8.19,4.1
artificialWithAnomaly/art_increase_spike_density.csv,34,208,369,14.05,8.44,10.54
artificialWithAnomaly/art_load_balancer_spikes.csv,219,747,184,22.67,54.34,31.99
realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,47,291,355,13.91,11.69,12.7
realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,79,396,323,16.63,19.65,18.02
realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,105,1148,297,8.38,26.12,12.69
realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,122,682,281,15.17,30.27,20.22
realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,143,968,200,12.87,41.69,19.67
realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,203,255,200,44.32,50.37,47.15
realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0,160,0,0.0,0.0,0.0
realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,93,628,312,12.9,22.96,16.52
realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,46,225,427,16.97,9.73,12.37
realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,121,679,284,15.12,29.88,20.08
realAWSCloudwatch/ec2_network_in_257a54.csv,17,53,386,24.29,4.22,7.19
realAWSCloudwatch/ec2_network_in_5abac7.csv,73,202,401,26.55,15.4,19.49
realAWSCloudwatch/elb_request_count_8c0756.csv,15,46,387,24.59,3.73,6.48
realAWSCloudwatch/grok_asg_anomaly.csv,382,2750,83,12.2,82.15,21.24
realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,71,307,55,18.78,56.35,28.17
realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,305,716,97,29.87,75.87,42.87
realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,315,2797,87,10.12,78.36,17.93
realAdExchange/exchange-2_cpc_results.csv,89,181,226,32.96,28.25,30.43
realAdExchange/exchange-2_cpm_results.csv,72,279,192,20.51,27.27,23.41
realAdExchange/exchange-3_cpc_results.csv,13,8,237,61.9,5.2,9.59
realAdExchange/exchange-3_cpm_results.csv,8,64,297,11.11,2.62,4.24
realAdExchange/exchange-4_cpc_results.csv,94,275,238,25.47,28.31,26.82
realAdExchange/exchange-4_cpm_results.csv,22,92,224,19.3,8.94,12.22
realKnownCause/ambient_temperature_system_failure.csv,156,650,1514,19.35,9.34,12.6
realKnownCause/cpu_utilization_asg_misconfiguration.csv,1147,1290,1851,47.07,38.26,42.21
realKnownCause/ec2_request_latency_system_failure.csv,67,658,279,9.24,19.36,12.51
realKnownCause/machine_temperature_system_failure.csv,1869,6943,966,21.21,65.93,32.09
realKnownCause/nyc_taxi.csv,255,670,2392,27.57,9.63,14.28
realKnownCause/rogue_agent_key_hold.csv,182,1092,8,14.29,95.79,24.86
realKnownCause/rogue_agent_key_updown.csv,241,1314,289,15.5,45.47,23.12
realTraffic/TravelTime_387.csv,89,322,319,21.65,21.81,21.73
realTraffic/TravelTime_451.csv,122,408,300,23.02,28.91,25.63
realTraffic/occupancy_6005.csv,31,201,208,13.36,12.97,13.16
realTraffic/occupancy_t4013.csv,44,141,206,23.78,17.6,20.23
realTraffic/speed_6005.csv,24,171,215,12.31,10.04,11.06
realTraffic/speed_7578.csv,65,212,51,23.47,56.03,33.08
realTraffic/speed_t4013.csv,81,401,169,16.8,32.4,22.13
realTweets/Twitter_volume_AAPL.csv,1750,6153,1029,22.14,62.97,32.77
realTweets/Twitter_volume_AMZN.csv,190,420,2846,31.15,6.26,10.42
realTweets/Twitter_volume_CRM.csv,1523,6389,1132,19.25,57.36,28.83
realTweets/Twitter_volume_CVS.csv,466,2169,2189,17.69,17.55,17.62
realTweets/Twitter_volume_FB.csv,849,3005,2315,22.03,26.83,24.19
realTweets/Twitter_volume_GOOG.csv,408,2711,1451,13.08,21.95,16.39
realTweets/Twitter_volume_IBM.csv,1092,4928,1446,18.14,43.03,25.52
realTweets/Twitter_volume_KO.csv,538,1883,2636,22.22,16.95,19.23
realTweets/Twitter_volume_PFE.csv,479,1475,2697,24.51,15.08,18.67
realTweets/Twitter_volume_UPS.csv,1898,8874,638,17.62,74.84,28.52
